,Unnamed: 0,company_id,preview,review,date,rating,likes,polarity,subjectivity,lemmas,Topic_words,Topic_number,Topic_Sentiment_Average
0,0,entertainment/netflix,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to w,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to watch Criminal Minds on but I enjoyed watching it on Netflix more than any other app because they are no adds and amazing quality. It's overall a great app.,2022-05-31,5,0,0.17500000000000002,0.5321428571428571,"['nt', 'wrong', 'great', 'app', 'really', 'enjoy', 'm', 'upset', 're', 'take', 'criminal', 'mind', 'season', 'june', 're', 'take', 'corpse', 'bride', 'm', 'upset', 'apps', 'watch', 'criminal', 'mind', 'enjoy', 'watch', 'app', 'add', 'amaze', 'quality', 's', 'overall', 'great', 'app']","account, nt, movie, new, cancel, s, month, use, service, say",11.0,0.13302885006747872
1,1,entertainment/netflix,I enjoy Netflix however I don’t think they have enough ** romantic comedies. Sometimes the app is not that great with suggesting shows that you may like. I also don’t like how many of the representation matters programs for ** people are centered around ,I enjoy Netflix however I don’t think they have enough ** romantic comedies. Sometimes the app is not that great with suggesting shows that you may like. I also don’t like how many of the representation matters programs for ** people are centered around police violence. It’s very triggering to see that every time you watch a movie. I’ve noticed in many of Netflix programming that they like to add in these triggering scenes and it’s becoming quite predictable. Overall the app is good and is a good alternative to cable. We need more light hearted programming. Less focused on social themes just some funny shows to watch.,2021-09-18,4,24,0.29803921568627456,0.49607843137254903,"['enjoy', 'however', 'don ’', 'think', 'enough', 'romantic', 'comedy', 'sometimes', 'app', 'great', 'suggest', 'show', 'may', 'like', 'also', 'don ’', 'like', 'many', 'representation', 'matter', 'program', 'people', 'center', 'around', 'police', 'violence', '’ s', 'trigger', 'see', 'every', 'time', 'watch', 'movie', '’ ve', 'notice', 'many', 'program', 'like', 'add', 'trigger', 'scene', '’ s', 'become', 'quite', 'predictable', 'overall', 'app', 'good', 'good', 'alternative', 'cable', 'need', 'light', 'hearted', 'program', 'less', 'focus', 'social', 'theme', 'funny', 'show', 'watch']","movie, show, watch, like, tv, great, s, series, love, would",15.0,0.2275222903293815
2,2,entertainment/netflix,"I have belonged to Netflix for many years. I do not like how much the monthly fee go up each year. I am paying about $15 each month. It keeps me from joining any other services, and there are shows I wish I could watch, but they are on other providers. S","I have belonged to Netflix for many years. I do not like how much the monthly fee go up each year. I am paying about $15 each month. It keeps me from joining any other services, and there are shows I wish I could watch, but they are on other providers. So far I am finding things to watch on Netflix, but I wish I did not have to join so many others in order to try out different shows. For example, I wish I could watch The Handmaid's Tale on Hulu.",2021-09-10,4,16,0.14999999999999997,0.5071428571428572,"['belong', 'many', 'year', 'like', 'much', 'monthlyfee', 'go', 'year', 'pay', 'month', 'keep', 'join', 'service', 'show', 'wish', 'could', 'watch', 'provider', 'far', 'find', 'thing', 'watch', 'wish', 'join', 'many', 'others', 'order', 'try', 'different', 'show', 'forexample', 'wish', 'could', 'watch', 'handmaid', 's', 'tale', 'hulu']","show, watch, time, like, cancel, movie, one, nt, every, customer",12.0,0.14034885526421498
3,3,entertainment/netflix,"I have been disabled for years, if it wasn’t for Netflix and other streaming opportunities I could not have made it. I am on medications that do not give me much time to go outdoors. I spend most of my time just relaxing while in pain. Pain sometimes so ","I have been disabled for years, if it wasn’t for Netflix and other streaming opportunities I could not have made it. I am on medications that do not give me much time to go outdoors. I spend most of my time just relaxing while in pain. Pain sometimes so bad that I cannot do much. Netflix offers a wide variety of programs that not only pique my interest but allows me for times to forget the pains and uneasiness that I go through daily also allowing me times to stay informed of things that are going on outside and in the world today. I hope that their continued variety they offer will make things more exciting and bearable to get me through the hard times I face now and in the future. May the Lord bless us all especially those facing the same as myself. Thank you for this opportunity today for being able to voice my opinion. May this help others.",2021-09-08,5,16,0.04907407407407408,0.4115740740740741,"['disabled', 'year', 'wasn ’', 'stream', 'opportunity', 'could', 'make', 'medication', 'give', 'much', 'time', 'go', 'outdoors', 'spend', 'time', 'relax', 'pain', 'pain', 'sometimes', 'bad', 'much', 'offer', 'widevariety', 'program', 'pique', 'interest', 'allows', 'time', 'forget', 'pain', 'uneasiness', 'go', 'daily', 'also', 'allow', 'time', 'stay', 'inform', 'thing', 'go', 'outside', 'world', 'today', 'hope', 'continued', 'variety', 'offer', 'make', 'thing', 'excite', 'bearable', 'hard', 'time', 'face', 'future', 'may', 'lord', 'bless', 'u', 'especially', 'face', 'thank', 'opportunity', 'today', 'able', 'voice', 'opinion', 'may', 'help', 'others']","movie, stream, watch, service, also, time, program, show, tv, family",8.0,0.21588517451652559
4,4,entertainment/netflix,"Netflix is a great movie website to use with a variety of options that you can choose to fit your needs. Netflix has three plans based on cost, number of devices you can have downloads on, unlimited shows, and quality of content. The plans range from $8.","Netflix is a great movie website to use with a variety of options that you can choose to fit your needs. Netflix has three plans based on cost, number of devices you can have downloads on, unlimited shows, and quality of content. The plans range from $8.99, $13.99, to $17.99. Once you sign up, you are charged once a month on the date you signed up for. They offer the convenience to change your plan or cancel at any time. Once you exit out of your show, they automatically pause where you left off. Netflix has series shows, movies, and TV shows. If you are looking for something to just come home and relax to after a long day, then Netflix is perfect for you!",2021-09-02,5,13,0.43000000000000005,0.51,"['great', 'movie', 'website', 'use', 'variety', 'option', 'choose', 'fit', 'need', 'three', 'plan', 'base', 'cost', 'number', 'device', 'downloads', 'unlimited', 'show', 'quality', 'content', 'plan', 'range', 'signup', 'charge', 'month', 'date', 'signedup', 'offer', 'convenience', 'change', 'plan', 'cancel', 'time', 'exit', 'show', 'automatically', 'pause', 'leftoff', 'series', 'show', 'movie', 'tv', 'show', 'look', 'something', 'come', 'home', 'relax', 'long', 'day', 'perfect']","use, dvd, nt, service, time, cancel, like, call, say, month",5.0,0.04815209963275327
5,5,entertainment/netflix,"When it works, it's fine. Content is a little boring, needs more varied selection. The app randomly kicks me out in mid playback. Doesn't happen every day, but some days it's impossible to continue watching a program. I have a 400 mbps connection, so it'","When it works, it's fine. Content is a little boring, needs more varied selection. The app randomly kicks me out in mid playback. Doesn't happen every day, but some days it's impossible to continue watching a program. I have a 400 mbps connection, so it's not that. It also does not happen on Disney, Hulu, or prime, or any of a dozen ad-supported apps, only Netflix. Since I usually just switch to another service when it happens twice during a program, I'm thinking I might be better off just cancelling it for a year or so to see if they can get their act together.",2022-07-25,1,0,-0.11875,0.575,"['work', 's', 'fine', 'content', 'little', 'boring', 'need', 'varied', 'selection', 'app', 'randomly', 'kick', 'mid', 'playback', 'nt', 'happen', 'every', 'day', 'day', 's', 'impossible', 'continue', 'watch', 'program', 'mbps', 'connection', 's', 'also', 'happen', 'disney', 'hulu', 'prime', 'dozen', 'adsupported', 'apps', 'since', 'usually', 'switch', 'another', 'service', 'happens', 'twice', 'program', 'm', 'think', 'might', 'well', 'cancel', 'year', 'see', 'act', 'together']","movie, show, watch, like, tv, great, s, series, love, would",15.0,0.2275222903293815
6,6,entertainment/netflix,"I have been a Netflix customer for more than 5 years now. I had to call them because I just discover they have been billing me twice monthly. So, when I asked them to reimburse me the whole time, they have been double billing me. They said, they can't be","I have been a Netflix customer for more than 5 years now. I had to call them because I just discover they have been billing me twice monthly. So, when I asked them to reimburse me the whole time, they have been double billing me. They said, they can't because there is another account on my billing. So, Netflix is scamming customers, and they don't take account you are a loyal customer. So, I am done with Netflix, and I will advise anyone if you want to get scam be my guest. Otherwise, stay away from Netflix.",2022-07-23,1,0,0.2583333333333333,0.43333333333333335,"['customer', 'year', 'call', 'discover', 'billing', 'twice', 'monthly', 'ask', 'reimburse', 'whole', 'time', 'doublebilling', 'say', 'cant', 'another', 'account', 'billing', 'scamming', 'customer', 'nt', 'take', 'account', 'loyalcustomer', 'do', 'advise', 'anyone', 'want', 'scam', 'guest', 'otherwise', 'stay', 'away']","charge, month, service, nt, call, customer, would, account, cancel, say",6.0,0.05476836090874418
7,7,entertainment/netflix,Netflix has really gone down hill! They charge way too much money and any time they get a new series that’s any good they cancel after one season. I actually got so frustrated that I stopped using my app. I get a tear free through my phone but I won’t be,Netflix has really gone down hill! They charge way too much money and any time they get a new series that’s any good they cancel after one season. I actually got so frustrated that I stopped using my app. I get a tear free through my phone but I won’t be continuing. I would rather watch a streaming service that continues to provide entertainment for current customers than one who only cares about getting new subscribers. They don’t care about keeping long time customers happy at all which is a shame. Would give 0 stars if I could.,2022-07-03,1,2,0.12525252525252525,0.469075369075369,"['really', 'go', 'hill', 'charge', 'way', 'much', 'money', 'time', 'new', 'series', '’ s', 'good', 'cancel', 'one', 'season', 'actually', 'get', 'frustrate', 'stop', 'use', 'app', 'tear', 'free', 'phone', '’ t', 'continue', 'would', 'rather', 'watch', 'stream', 'service', 'continue', 'provide', 'entertainment', 'current', 'customer', 'one', 'care', 'get', 'new', 'subscriber', 'don ’', 'care', 'keep', 'long', 'time', 'customer', 'happy', 'shame', 'would', 'give', 'star', 'could']","movie, watch, good, service, film, show, like, stream, new, go",1.0,0.18105119234843628
8,8,entertainment/netflix,I will not be re-joining until you meet the standard Resolution. 480P for 9.99 a month? Have you ever watched 480P on a 75 inch TV? Well it is similar to watching an old VHS tape in the early 90s.... No wonder you are losing business. I used to Enjoy Net,I will not be re-joining until you meet the standard Resolution. 480P for 9.99 a month? Have you ever watched 480P on a 75 inch TV? Well it is similar to watching an old VHS tape in the early 90s.... No wonder you are losing business. I used to Enjoy Netflix.,2022-06-15,1,0,0.12000000000000002,0.28,"['rejoin', 'meet', 'standard', 'resolution', 'month', 'ever', 'watch', 'inch', 'tv', 'well', 'similar', 'watch', 'old', 'vhs', 'tape', 'early', 'wonder', 'lose', 'business', 'use', 'enjoy']","account, service, time, card, month, s, charge, use, customer, cancel",2.0,0.06866929326411424
9,9,entertainment/netflix,"I contacted Netflix about an issue with downloading their content and it not working once offline. After an hour of waiting for them to file with the technical department, I was told it had been escalated and to just check back from time to time to see i","I contacted Netflix about an issue with downloading their content and it not working once offline. After an hour of waiting for them to file with the technical department, I was told it had been escalated and to just check back from time to time to see if it was working. I felt this was not a good enough answer and someone should contact me to let me know what the problem was and if it had been corrected. They told me they could not. I then talked with a supervisor that told me the same thing. After this I said I should at least receive a refund for a month since my service was not fully working (even though this problem had been going on for many months), they said they would not refund any amount. I feel it is very poor company that is making a lot of money but can't refund a customer that is having a problem with their service that they are paying for. Netflix is a poorly ran company.",2022-06-14,1,2,-0.11888888888888888,0.40055555555555555,"['contact', 'issue', 'download', 'content', 'work', 'offline', 'anhour', 'wait', 'file', 'technical', 'department', 'told', 'escalate', 'check', 'back', 'time', 'time', 'see', 'work', 'felt', 'good', 'enough', 'answer', 'someone', 'contact', 'let', 'know', 'problem', 'correct', 'told', 'could', 'talk', 'supervisor', 'told', 'thing', 'say', 'atleast', 'receive', 'refund', 'month', 'since', 'service', 'fully', 'work', 'eventhough', 'problem', 'go', 'many', 'month', 'say', 'would', 'refund', 'amount', 'feel', 'poor', 'company', 'make', 'lot', 'money', 'cant', 'refund', 'customer', 'problem', 'service', 'pay', 'poorly', 'ran', 'company']","charge, month, service, nt, call, customer, would, account, cancel, say",6.0,0.05476836090874418
