,Index,DATE,REVIEW,RATING,Polarity,Subjectivity,Lemmas
0,1,2021-11-15 09:14:00,Their customer service is non-existent. Would never/ever work with this company again. Just not worth it.,neg,-0.15,0.1,"['customerservice', 'nonexistent', 'would', 'neverever', 'work', 'company', 'worth']"
1,2,2021-11-08 10:10:00,"This is the VERY WORST SUPPORT SERVICE I HAVE EVER ENCOUNTERED!! I have a Canon account. After a couple humans talked to me, I got a recording saying that I don't have one!! My product may not be registered, but when I went to register it at the email address they gave me, it was completely unhelpful as well. Horrible!",neg,-0.6333333333333333,0.7999999999999999,"['bad', 'support', 'service', 'ever', 'encounter', 'canon', 'account', 'couple', 'human', 'talk', 'get', 'record', 'say', 'one', 'product', 'may', 'register', 'go', 'register', 'email', 'address', 'give', 'completely', 'unhelpful', 'well', 'horrible']"
2,3,2021-11-02 00:49:00,"The wrost company ever i seen.could not connect to the customer care or toll free number,
they are always busy",neg,0.25,0.55,"['wrost', 'company', 'ever', 'seencould', 'connect', 'customer', 'care', 'toll', 'free', 'number', 'always', 'busy']"
3,4,2021-09-26 02:48:00,"I purchased this type of printer because my daughter just purchased a Canon printer with the ink bottles and was very happy with her purchase. So I purchased a Canon similar to her printer, but this printer will not print from wireless as advertised. This model printer will not scan and it takes prompting printer several times to get this printer to printer.",neg,0.3333333333333333,0.4666666666666666,"['purchase', 'type', 'printer', 'daughter', 'purchase', 'canon', 'printer', 'ink', 'bottle', 'happy', 'purchase', 'purchase', 'canon', 'similar', 'printer', 'printer', 'print', 'wireless', 'advertised', 'model', 'printer', 'scan', 'take', 'prompt', 'printer', 'severaltimes', 'printer', 'printer']"
4,5,2021-09-21 09:40:00,I ordered a MF644 printer directly from Canon - figured it would be more timely than a third party. WRONG! After they charged me 749.00 for printer and ink - they send me 300 worth of ink with no printer and offer no time frame for their backordered printer. I asked what they could do - the response was nothing but I could pay to send the ink back and they would refund when they receive in 10 to 20 days - it shouldn't cost a consumer money and time to do business with a company. DON't buy Canon.,neg,0.04583333333333333,0.3166666666666667,"['order', 'printer', 'directly', 'canon', 'figure', 'would', 'timely', 'third', 'party', 'wrong', 'charge', 'printer', 'ink', 'send', 'worth', 'ink', 'printer', 'offer', 'time', 'frame', 'backordered', 'printer', 'ask', 'could', 'response', 'nothing', 'could', 'pay', 'send', 'ink', 'back', 'would', 'refund', 'receive', 'day', 'cost', 'consumer', 'money', 'time', 'business', 'company', 'buy', 'canon']"
5,6,2021-08-31 13:48:00,"The Canon Pixima TR 150 portable printer is $400.00 CDN . It does not deliver as expected, especially at that price point.On plain printing paper be prepared to see dull greys instead of black and washed out colours with little saturation. Same with premium quality paper. Same after running the auto print head cleaning function and the print head alignment function. This is after a few uses. I have had this printer for two months. In speaking to a Canon customer service Tech guy I was told that regardless of the clearly stated description on the package that advertised the fact that this printer is compatible with Apple IOS devices that is the expected quality of printing using Apple devices. I went through almost all of my cartridge ink trying to print on different settings to discover that on plain printing paper the only setting that delivers true Blacks and Saturated Colours is the Photo II setting on plain paper. All very well and good except that on the Photo II setting to get the Printing quality you paid for you will find yourself running out of ink Quickly. Good for Canon Cartridge Sales.",neg,0.019016290726817032,0.462531328320802,"['canon', 'pixima', 'tr', 'portable', 'printer', 'cdn', 'deliver', 'expect', 'especially', 'price', 'pointon', 'plain', 'printing', 'paper', 'prepared', 'see', 'dull', 'grey', 'instead', 'black', 'wash', 'colour', 'little', 'saturation', 'premium', 'quality', 'paper', 'run', 'auto', 'print', 'head', 'cleaning', 'function', 'print', 'head', 'alignment', 'function', 'us', 'printer', 'two', 'month', 'speak', 'canon', 'customerservice', 'tech', 'guy', 'told', 'regardless', 'clearly', 'state', 'description', 'package', 'advertised', 'fact', 'printer', 'compatible', 'apple', 'io', 'device', 'expect', 'quality', 'printing', 'use', 'apple', 'device', 'go', 'almost', 'cartridge', 'ink', 'try', 'print', 'different', 'setting', 'discover', 'plain', 'printing', 'paper', 'set', 'delivers', 'true', 'black', 'saturate', 'colour', 'photo', 'ii', 'set', 'plain', 'paper', 'well', 'good', 'except', 'photo', 'ii', 'set', 'printing', 'quality', 'paid', 'find', 'run', 'ink', 'quickly', 'good', 'canon', 'cartridge', 'sale']"
6,7,2021-08-26 14:46:00,"After 3 hr of trying to set up a printer I just returned it to walmart. Why so complicated? How about 1 wire and 1 button.No, just follow these 23 simple steps. Besides the instructions that came with the unit their are 2 other slightly different sets of instructions on the web. 2 hrs in I found a password that you supply! I have been without a printer for many years and will continue.You're now on my list. BTW don't bother with the phony, ""sorry to hear..."". Can I get my 3 hours back? If you made it simpiler you could b checking out my photos and other docs.right now, sorry!",neg,-0.1527777777777778,0.5785714285714286,"['hr', 'try', 'setup', 'printer', 'return', 'walmart', 'complicate', 'wire', 'buttonno', 'follow', 'simple', 'step', 'besides', 'instruction', 'come', 'unit', 'slightly', 'different', 'set', 'instruction', 'web', 'hr', 'found', 'password', 'supply', 'without', 'printer', 'many', 'year', 'continueyou', 're', 'list', 'btw', 'bother', 'phony', 'sorry', 'hear', 'hour', 'back', 'make', 'simpiler', 'could', 'b', 'check', 'photo', 'docsright', 'sorry']"
7,8,2021-08-24 17:39:00,"I'm very knowledgeable in the field of computer science. I have spent 20 years as a Web Programmer. I recently purchased a Canon MF236n laser printer. I attempted to install the required printer driver for my HP laptop running Windows 10 Home edition and the printer refuses to communicate with the PC. I don't think that this is a case of ""operator error"" Cannon seriously screwed up the driver download and install process. Installing a printer driver is a simple and easy thing, I've done it thousands of times. Customer service has been unhelpful. Really? I'm giving the MF236n and Canon customer service a one star rating.",neg,0.05714285714285715,0.38673469387755105,"['knowledgeable', 'field', 'computer', 'science', 'spent', 'year', 'web', 'programmer', 'recently', 'purchase', 'canon', 'laser', 'printer', 'attempt', 'install', 'require', 'printer', 'driver', 'hp', 'laptop', 'run', 'home', 'edition', 'printer', 'refuse', 'communicate', 'pc', 'think', 'case', 'operator', 'error', 'cannon', 'seriously', 'screw', 'driver', 'download', 'install', 'process', 'instal', 'printer', 'driver', 'simple', 'easy', 'thing', 've', 'do', 'thousand', 'time', 'customer', 'service', 'hasbeen', 'unhelpful', 'really', 'give', 'canon', 'customerservice', 'one', 'star', 'rating']"
8,9,2021-08-17 11:01:00,As a business we use a copy machine alot. The people at Cannon could care less about customer service after they stick you with a machine. We have 3 of the Cannon machines and we used to get good service and support but in the last several years it has taken a 90 degree turn and I can tell you it will be a cold day in you know what before we ever buy another Cannon product.,neg,-0.01333333333333333,0.3466666666666667,"['business', 'use', 'copy', 'machine', 'alot', 'people', 'cannon', 'could', 'care', 'less', 'customerservice', 'stick', 'machine', 'cannon', 'machine', 'use', 'good', 'service', 'support', 'last', 'several', 'year', 'take', 'degree', 'turn', 'tell', 'cold', 'day', 'know', 'ever', 'buy', 'another', 'cannon', 'product']"
9,10,2021-08-11 08:18:00,"I have called 6 times trying to get them to help me with my camera, and they won't answer and hang up on me!! I need something from it today.",neg,0.0,0.0,"['call', 'time', 'try', 'help', 'camera', 'wont', 'answer', 'hang', 'need', 'something', 'today']"
10,11,2021-08-04 16:50:00,Canon US is one of the worst companies. There customer service is non existent. Calling them is a nightmare been on the phone with automated call for hours .,neg,-1.0,1.0,"['canon', 'u', 'one', 'bad', 'company', 'customerservice', 'non', 'existent', 'call', 'nightmare', 'phone', 'automate', 'call', 'hour']"
