,Index,Company,Review,Date,Rating,Polarity,Subjectivity,Lemmas,Topic_words,Topic_number
0,2281,canon,"Wow, I talked to some woman that couldn't have cared less that I was double billed by Netflix. She just keep saying call your bank. I told her it wasn't the bank who billed me. Finally I just cancelled Netflix and got my money back.",2021-12-03 13:56:00,neg,-0.01333333333333333,0.4133333333333333,"['wow', 'talk', 'woman', 'could', 'care', 'less', 'double', 'bill', 'keep', 'say', 'call', 'bank', 'told', 'bank', 'bill', 'finally', 'cancel', 'get', 'money', 'back']","month, call, account, would, charge, customerservice, problem, company, one, movie",13.0
1,2282,canon,I just chatted with a so called supervisor of Netflix the worst call I've ever had and they talk over you and don't let you talk I'm also now considering cancelling Netflix worst conversation of my life,2021-11-30 03:00:00,neg,-1.0,1.0,"['chat', 'call', 'supervisor', 'bad', 'call', 've', 'ever', 'talk', 'let', 'talk', 'also', 'consider', 'cancel', 'bad', 'conversation', 'life']","service, customer, call, know, wait, say, problem, help, movie, cancel",3.0
2,2283,canon,LAILA ID# 3102774 has horrible customer service & absolutely NO KNOWLEDGE when it comes to customers Netflix account! Please stop putting people that do not speak English on lines that you press 1 for English. So annoying ?,2021-10-18 01:52:00,neg,-0.385,0.5599999999999999,"['laila', 'id', 'horrible', 'customerservice', 'absolutely', 'knowledge', 'come', 'customer', 'account', 'please', 'stop', 'put', 'people', 'speak', 'english', 'line', 'press', 'english', 'annoy']","service, call, dvd, get, help, time, cancel, year, problem, customer",11.0
3,2284,canon,Not impressed at all!!!!,2021-10-15 07:54:00,neg,-0.5,1.0,['impressed'],"problem, help, call, account, say, really, thank, movie, great, rep",12.0
4,2285,canon,MY netflix is not working. it is treating me like a new customer.. asking m to log in. please help,2021-10-04 17:24:00,neg,0.13636363636363635,0.45454545454545453,"['work', 'treat', 'like', 'new', 'customer', 'ask', 'log', 'please', 'help']","service, customer, call, know, wait, say, problem, help, movie, cancel",3.0
5,2286,canon,Won't give actual answer to solve payment problem. Rude when facing the customer. Hang up the chat without confirming with customer whether there's any other problem.,2021-09-22 19:32:00,neg,-0.14166666666666666,0.35833333333333334,"['wo', 'give', 'actual', 'answer', 'solve', 'payment', 'problem', 'rude', 'face', 'customer', 'hang', 'chat', 'without', 'confirm', 'customer', 'whether', 'problem']","month, call, account, would, charge, customerservice, problem, company, one, movie",13.0
6,2287,canon,"Too many dubbed series and movies,its horrible Netflix is boring,when you think something is good,you find out it is dubbed.",2021-08-26 05:46:00,neg,-0.25,0.75,"['many', 'dubbed', 'series', 'movie', 'horrible', 'boring', 'think', 'something', 'good', 'find', 'dubbed']","customerservice, number, support, phone, contact, customer, think, easy, seem, anyone",15.0
7,2288,canon,"For the past 3 months it wont let me get connected to t.v .with the remote or thru my phone.,hulu works,disney plus ,youtube .nerflix does not on my t.v . Using same phone or remote. Wth netflix. Fix",2021-08-17 20:08:00,neg,-0.11249999999999999,0.19374999999999998,"['past', 'month', 'wont', 'let', 'connect', 'tv', 'with', 'remote', 'thru', 'phone', 'hulu', 'work', 'disney', 'plus', 'youtube', 'nerflix', 'tv', 'use', 'phone', 'remote', 'wth', 'fix']","account, call, password, take, change, helpful, fix, hour, say, device",10.0
8,2289,canon,Issues with dish and Netflix is not the customers fault or reason to have to bend to what Netflix wants to make things easier for them. Customers who pay for services should have them running as smoothly as monthly payments are charged to them as the customer. But y'all pass blame on each other and the people giving you money for services monthly is crapped on and giving troubleshooting ideas which is just a circle jerk party. Disclaimers 7 be nice to know what we are getting into as dual service subscribers.,2021-07-11 11:21:00,neg,0.26875000000000004,0.49375,"['issue', 'dish', 'customer', 'fault', 'reason', 'bend', 'want', 'make', 'thing', 'easy', 'customer', 'pay', 'service', 'run', 'smoothly', 'monthly', 'payment', 'charge', 'customer', 'yall', 'pas', 'blame', 'people', 'give', 'money', 'service', 'monthly', 'crapped', 'give', 'troubleshoot', 'idea', 'circle', 'jerk', 'party', 'disclaimer', 'nice', 'know', 'get', 'dual', 'service', 'subscriber']","service, customer, call, know, wait, say, problem, help, movie, cancel",3.0
9,2290,canon,"Tried figuring out why I couldn't login to my account, only to find someone from another country hacked our account. The operator on the line was rude with a condescending tone. They need better training.",2021-06-27 22:35:00,neg,0.06666666666666667,0.7000000000000001,"['try', 'figure', 'could', 'login', 'account', 'find', 'someone', 'another', 'country', 'hack', 'account', 'operator', 'line', 'rude', 'condescend', 'tone', 'need', 'well', 'training']","account, could, receive, would, show, movie, refund, get, payment, access",9.0
