User Review,Star Rating,Date
I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

